timestamp,open,high,low,close
2018-02-19,7.4474,7.4538,7.4453,7.4468
2018-02-18,7.4481,7.4551,7.4461,7.4464
2018-02-16,7.4486,7.4527,7.4446,7.4527
2018-02-15,7.4500,7.4507,7.4456,7.4489
2018-02-14,7.4498,7.4542,7.4446,7.4501
2018-02-13,7.4476,7.4519,7.4460,7.4502
2018-02-12,7.4440,7.4494,7.4420,7.4476
2018-02-11,7.4446,7.4466,7.4393,7.4447
2018-02-09,7.4428,7.4559,7.4375,7.4559
2018-02-08,7.4421,7.4445,7.4400,7.4429
2018-02-07,7.4424,7.4440,7.4410,7.4427
2018-02-06,7.4435,7.4450,7.4400,7.4426
2018-02-05,7.4422,7.4477,7.4413,7.4436
2018-02-04,7.4431,7.4466,7.4396,7.4424
2018-02-02,7.4432,7.4443,7.4399,7.4434
2018-02-01,7.4421,7.4445,7.4400,7.4435
2018-01-31,7.4423,7.4440,7.4390,7.4423
2018-01-30,7.4426,7.4446,7.4400,7.4425
2018-01-29,7.4432,7.4451,7.4400,7.4428
2018-01-28,7.4436,7.4466,7.4366,7.4441
2018-01-26,7.4437,7.4460,7.4392,7.4420
2018-01-25,7.4444,7.4470,7.4421,7.4440
2018-01-24,7.4435,7.4475,7.4424,7.4448
2018-01-23,7.4444,7.4460,7.4410,7.4439
2018-01-22,7.4432,7.4450,7.4420,7.4430
2018-01-21,7.4429,7.4466,7.4405,7.4436
2018-01-19,7.4451,7.4510,7.4388,7.4427
2018-01-18,7.4447,7.4490,7.4438,7.4452
2018-01-17,7.4474,7.4492,7.4429,7.4452
2018-01-16,7.4482,7.4520,7.4460,7.4477
2018-01-15,7.4490,7.4510,7.4429,7.4489
2018-01-14,7.4493,7.4501,7.4367,7.4490
2018-01-12,7.4469,7.4503,7.4451,7.4489
2018-01-11,7.4463,7.4530,7.4429,7.4471
2018-01-10,7.4460,7.4480,7.4429,7.4468
2018-01-09,7.4461,7.4474,7.4429,7.4459
2018-01-08,7.4459,7.4472,7.4449,7.4465
2018-01-07,7.4455,7.4485,7.4397,7.4460
2018-01-05,7.4458,7.4490,7.4440,7.4467
2018-01-04,7.4444,7.4465,7.4430,7.4458
2018-01-03,7.4432,7.4470,7.4422,7.4447
2018-01-02,7.4439,7.4470,7.4404,7.4431
2018-01-01,7.4449,7.4509,7.4422,7.4438
2017-12-31,7.4449,7.4453,7.4447,7.4449
2017-12-29,7.4448,7.4600,7.4429,7.4537
2017-12-28,7.4445,7.4461,7.4416,7.4448
2017-12-27,7.4444,7.4462,7.4430,7.4450
2017-12-26,7.4434,7.4449,7.4416,7.4447
2017-12-25,7.4451,7.4493,7.4348,7.4437
2017-12-24,7.4452,7.4463,7.4422,7.4463
2017-12-22,7.4444,7.4460,7.4403,7.4403
2017-12-21,7.4441,7.4452,7.4428,7.4440
2017-12-20,7.4427,7.4451,7.4419,7.4442
2017-12-19,7.4425,7.4450,7.4410,7.4429
2017-12-18,7.4450,7.4450,7.4413,7.4426
2017-12-17,7.4428,7.4454,7.4396,7.4439
2017-12-15,7.4444,7.4470,7.4420,7.4438
2017-12-14,7.4431,7.4455,7.4406,7.4444
2017-12-13,7.4419,7.4450,7.4377,7.4435
2017-12-12,7.4428,7.4450,7.4390,7.4424
2017-12-11,7.4414,7.4470,7.4390,7.4421
2017-12-10,7.4413,7.4425,7.4364,7.4416
2017-12-08,7.4414,7.4440,7.4399,7.4403
2017-12-07,7.4401,7.4429,7.4399,7.4416
2017-12-06,7.4409,7.4432,7.4399,7.4409
2017-12-05,7.4409,7.4430,7.4390,7.4412
2017-12-04,7.4412,7.4430,7.4400,7.4416
